2021	125094	car	2	4856	PC7C042B7
2021	174434	car	2	4154	PC2C2EF9E
2021	8538286	car	2	4070	PCEECA8B2
18:23:45 2021	5521221	car	2	4095	PC3E1512A
2021	3267767	car	2	4135	PCC943ECD
2021	8411850	car	2	4680	PCC422F4D
2021	6064250	car	2	4702	PCDBC3AC9
2021	6871937	van	2	4592	PC627AA14
14:23:08 2021	2055930	car	2	4100	PCC6DD8D5
2021	8775910	car	2	4143	PC5F47DCF
15:52:13 2021	4525747	car	2	4466	PC6E93A05
2021	5276143	van	2	4352	PC99B9343
2021	5405144	van	2	4574	PCC1F6F13
14:55:00 2021	9309466	car	2	4902	PC425C6EC
04:00:30 2021	6494070	van	2	4012	PCEF5C190
13:08:17 2021	4880588	car	2	4458	PCECEBBFA
04:56:15 2021	6964507	car	2	4886	PC4D892D7
2021	5740782	truck	4	4680	PCC422F4D
2021	1060261	van	2	4899	PC4967767
21:22:56 2021	6599783	car	2	4855	PC03C5C15
2021	4573378	car	2	4737	PCED7EAFE
02:02:33 2021	1362666	car	2	4140	PC5D4821F
05:07:58 2021	9227112	car	2	4961	PC92C5115
2021	1245885	car	2	4148	PCDFBBEBB
2021	6702238	car	2	4630	PCA26D872
2021	7598066	car	2	5003	PCAC9371E
19:09:41 2021	2959560	car	2	4243	PCC4F7DCE
02:04:42 2021	9223690	car	2	4023	PC77793DF
2021	495967	car	2	4987	PCF4A9637
2021	1920115	car	2	4755	PC628DCED
2021	9940618	truck	4	4079	PCF1366ED
10:18:54 2021	733942	car	2	4616	PCE6675F9
2021	3232373	truck	4	4245	PC6594AD4
2021	2164250	truck	4	4090	PC1EE951B
09:10:05 2021	3714822	truck	4	4383	PC4BFE950
13:11:54 2021	9870882	van	2	4449	PCAACD453
2021	834998	car	2	4351	PC4E572D8
2021	6715866	car	2	4159	PC5631507
09:43:26 2021	9723146	car	2	4018	PCCB2657A
16:18:51 2021	2871310	car	2	4827	PC7D68CD9
2021	7657312	van	2	4115	PCF5D4B0A
03:53:05 2021	9802000	car	2	4102	PC8C9B099
